age,hours_work,social_media_use,rent,friends_count,highest_speed,dates,standard_drinks,countries,semesters,commute,data_interest,mark_goal,hours_studying,financial_pressure,work_study_ratio,social_engagement,gender,relationship_status,drug_use_ans,student_type,mainstream_advanced,lecture_mode,study_type,learner_style,stress_category
18.0,0.0,5.5,0.0,4.0,105.0,0.0,2.0,5.0,0.0,45.0,3.0,75.0,3.0,0.0,0.0,0.7272727272727273,Female,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 2,Average
21.0,25.0,2.5,0.0,7.0,120.0,10.0,0.0,3.0,4.0,50.0,3.0,70.0,10.0,0.0,2.5,2.8,Female,In a relationship,Yes,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,High
27.0,38.0,0.5,0.0,0.0,130.0,0.0,0.0,17.0,2.0,30.0,5.0,70.0,5.0,0.0,7.6,0.0,Male,Single,Yes,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Average
20.0,0.0,2.0,100.0,2.0,110.0,2.0,0.0,3.0,3.0,120.0,1.0,90.0,2.0,100.0,0.0,1.0,Female,Its complicated,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 1,Average
19.0,0.0,7.24,589.0,3.0,29.0,1.0,0.0,24.0,0.0,30.0,1.0,100.0,0.0,589.0,0.0,0.4143646408839779,Female,Single,No,International,DATA1001,Live Stream from Lecture Theatre,I leave things to the last minute,Style 2,High
17.0,0.0,6.3,0.0,6.0,25.0,0.0,14.0,7.0,0.0,90.0,3.0,75.0,4.0,0.0,0.0,0.9523809523809524,Female,Single,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 3,High
18.0,22.0,4.0,0.0,10.0,130.0,20.0,18.0,11.0,0.0,35.0,6.0,80.0,4.0,0.0,5.5,2.5,Male,Single,Yes,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 1,Average
22.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,40.0,5.0,85.0,10.0,0.0,0.0,1.0,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,Average
18.0,15.0,3.0,0.0,30.0,125.0,2.0,10.0,7.0,0.0,90.0,6.0,70.0,2.0,0.0,7.5,10.0,Female,Single,Yes,Domestic,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 2,High
20.0,0.0,4.0,1000.0,3.0,130.0,30.0,1.0,15.0,0.0,20.0,6.0,80.0,3.0,1000.0,0.0,0.75,Female,In a relationship,Prefer not to say,Domestic,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 3,High
33.590000000000146,20.0,4.5,500.0,0.0,120.0,5.0,0.0,6.0,10.0,50.0,7.0,90.0,8.0,25.0,2.5,0.0,Female,Single,No,Domestic,DATA1001,Recording,I leave things to the last minute,Style 2,High
21.0,19.0,3.0,0.0,0.0,160.0,0.0,2.0,2.0,2.0,15.0,1.0,90.0,3.0,0.0,6.333333333333333,0.0,Female,In a relationship,No,Domestic,DATA1001,Recording,I work steadily all semester,Style 1,Low
