cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I consent to take part in the study,18,Female,Other Please Specify,Indonesia,7.75,8,1411,30,7,70,Single,2,1,7,Have you ever used recreational drugs?,No,International,DATA1001,1,20,2,80,2,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,20,Male,China,,28,5,500,2,5,213,In a relationship,50,0,5,Have you ever used recreational drugs?,No,International,DATA1001,1,35,6,75,6,Recording,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,20,Female,Australia,,28,1,390,3,9,140,Single,4,0,3,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,5,180,3,86,7,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Thailand,0,14,750,2,8,160,Single,0,0,5,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,30,6,95,2,Lecture Slides,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,20,Male,Other Please Specify,Japan,0,4.2,300,5,4,110,Single,0,1,8,Have you ever used recreational drugs?,No,International,DATA1001,1,50,10,92,6,Lecture Slides,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,18,Female,Australia,,23,5.28,0,14,6,110,Single,3,0,3,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,1,75,1,80,4,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,19,Female,Australia,,23,4,0,100,3,180,In a relationship,1,20,23,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,1,60,4,85,5,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,19,Male,Other Please Specify,Vietnam,0,7.0,360,5,5,180,Single,0,0,15,Have you ever gotten high off recreational drugs?,Prefer not to say,International,DATA1001,2,40,5,85,9,Live Stream from Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,18,Male,Australia,,4,4,0,6,7,110,Single,0,0,5,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,1,60,5,85,3,Live in the Lecture Theatre,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,18,Male,India,,0,3.5,450,10,8,210,Single,0,15,8,Have you ever used recreational drugs?,No,International,DATA1001,0,35,10,90,3,Recording,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,22,Female,Australia,,20,5,300,1,7,130,Single,2,1,10,Have you ever used recreational drugs?,Yes,Domestic,DATA1001,1,25,6,85,10,Recording,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,19,Female,Australia,,10,7.5,0,9,8,100,Single,4,6,2,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,1,60,1,60,5,Live in the Lecture Theatre,I work steadily all semester,Style 3
